,A1,A2,A3,A4,A5,A6,A7,A8,B1,B2,B3,B4,B5,B6,B7,B8,C1,C2,C3,C4,C5,C6,C7,C8,D1,D2,D3,D4,D5,D6,D7,D8,E1,E2,E3,E4,E5,E6,E7,E8,F1,F2,F3,F4,F5,F6,F7,F8,G1,G2,G3,G4,G5,G6,G7,G8,H1,H2,H3,H4,H5,H6,H7,H8,WHITE_ELO,BLACK_ELO,WINNER
16033,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1000000,0,0,0,0,0,0,-3,-1,0,0,0,9,0,0,0,0,-1,0,0,0,-1,1,1,0,1,0,-1,-3,1,0,1000000,0,-3,0,-1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,703,1477,1
16034,0,-5,0,0,-1000000,0,0,-5,-1,0,0,-1,0,-1,-3,-1,9,0,-3,0,-1,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,3,0,1,1,0,1,0,3,0,1,0,0,0,0,5,0,1000000,0,0,0,418,1717,1
16035,0,0,0,0,0,-5,-1000000,0,0,0,0,0,0,-1,0,0,5,0,-1,0,0,0,-1,0,0,0,0,-1,0,0,0,-1,0,1,-1,-3,0,0,0,1,0,0,0,-1,0,0,0,0,0,-5,0,0,0,3,1000000,0,0,9,0,0,0,5,0,0,797,1448,1
16036,0,0,-3,0,0,-5,-1000000,0,0,-1,0,0,-3,-1,-1,0,0,0,0,0,-1,0,0,-1,-5,3,-3,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1000000,0,0,1,0,0,0,0,0,0,0,0,0,5,1759,1725,-1
16037,0,0,0,0,0,0,-1000000,0,0,0,0,0,0,0,-1,0,0,0,-9,0,-1,0,0,0,-1,0,0,0,1,0,0,1,0,-3,0,1,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,1000000,0,839,402,-1
16038,0,0,-3,-9,0,-5,-1000000,0,0,-1,0,-3,-3,0,0,-1,0,0,-1,-3,9,0,-1,0,0,-1,0,1,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,1,0,-5,0,1,0,0,1,0,1,0,5,0,0,1000000,0,0,5,1323,668,-1
16039,-5,0,0,0,0,-1000000,0,-5,-1,-1,-9,0,-3,-1,-1,0,0,0,-3,0,0,0,0,0,0,0,1,3,0,-3,0,0,9,0,0,0,3,0,0,-1,0,0,3,-1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,5,0,0,5,0,1000000,780,687,-1
16040,0,0,0,0,0,0,0,0,0,0,0,0,0,-1000000,0,-1,-1,3,0,0,0,0,-1,0,0,0,0,0,-3,-3,0,-1,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1000000,0,0,0,0,0,0,0,1103,622,-1
16041,0,0,0,-5,0,0,0,0,0,-1,-9,0,0,0,-1000000,0,-1,0,0,0,0,-5,-1,0,0,0,0,0,0,0,0,1,0,0,3,0,0,1,-3,0,0,1,0,1,0,5,1,0,1,0,1,0,0,0,0,0,0,0,1000000,0,0,0,0,5,2116,793,-1
16042,0,0,0,0,0,0,0,0,0,0,0,0,-1000000,0,0,0,-1,-5,0,0,1,0,0,-1,0,-1,0,0,0,0,-1,0,0,0,0,0,0,-3,0,0,-3,0,0,1,0,3,0,1,5,0,0,0,0,1,0,0,0,0,0,0,0,3,1000000,0,1403,2115,1
16043,0,0,0,0,0,-3,-1000000,-5,0,0,0,-3,0,0,0,-1,0,0,0,-5,-9,0,-1,1,0,-1,0,0,-1,0,3,0,-1,0,-1,-1,1,0,0,1,1,0,0,1,0,9,0,0,0,1,1,3,1000000,1,0,0,5,0,0,0,0,0,5,0,1709,1693,-1
16044,-5,0,0,0,-1000000,0,-5,0,0,0,0,0,0,0,-3,-1,0,0,-1,0,0,0,-1,0,0,-1,0,0,-1,0,0,0,-1,0,-3,-1,3,1,0,0,0,0,0,0,0,5,0,0,0,0,1,0,1000000,0,0,1,-5,0,0,3,0,0,0,0,1638,1562,-1
16045,-5,0,-3,0,-1000000,-3,0,-5,-1,-1,0,0,-1,-1,-1,-1,-9,0,0,0,0,-3,0,0,0,0,-1,0,0,0,0,0,0,5,0,0,1,1,0,0,0,0,3,0,0,0,0,0,1,0,0,3,0,0,1,1,9,0,0,0,1000000,0,0,5,396,2487,1
