,FEN_BEFORE_MOVE,MOVE_MADE,TURN,WHITE_ELO,BLACK_ELO,WINNER
8074,2r5/3R2pk/1p5p/pr6/4N3/P5P1/3R1PKP/8 w - - 0 37,g3g4,WHITE,530,877,1
8075,r1q3n1/2k1NQp1/2P1p3/p2p3p/P1pP3P/2P1B3/4BPP1/R1R3K1 b - - 0 35,c8e8,BLACK,410,1428,1
8076,r4r1k/p1nbq2p/3p1bp1/PpNp2P1/2P5/4n2P/1P1BBP2/2Q3KR w - - 0 29,c5d7,WHITE,1967,489,-1
8077,r1b2r1k/1p1nb2p/p1n3q1/2p1pN2/P2pP3/1PPB3P/1B1P1PP1/2RQ1RK1 w - - 3 21,f5e7,WHITE,647,1234,1
8078,r3kbr1/1bqn2pp/1n3B2/1B1p1NQ1/1p2p3/4P1P1/P1PN1P1P/R3K2R b KQq - 0 17,g7g6,BLACK,364,1449,1
8079,1k1r3r/1q5p/p2b1pp1/Q1pbn3/7P/P4PB1/1PB2R2/R6K b - - 0 26,d5f3,BLACK,1165,1087,-1
8080,1r6/p1k1r1pN/q3p3/P1b1Pp1Q/2p2P2/2Pb4/3P2PP/R3R2K b - - 0 28,b8h8,BLACK,1402,350,-1
8081,r5k1/p2R2b1/1p6/5p2/PP4pq/3KP3/8/8 w - - 2 40,d7b7,WHITE,664,553,-1
8082,3r2k1/3q2b1/2p2p1p/1pPb1PpB/pP1BpP2/P3P1RP/6R1/4K3 w - - 1 40,h3h4,WHITE,1983,1703,-1
8083,r1b3kr/2pq1p2/1pN1p3/7p/p1BP1B2/P1PQ1PnP/1P6/2R1K1NR b K - 1 22,h8h7,BLACK,297,1572,1
8084,r1b1r3/p2k1p2/1b1B3p/1N1n2p1/3P4/1P3P2/P1P3PP/R2K3R b - - 0 22,c8b7,BLACK,615,1163,1
8085,2bqk2r/r2n1pp1/1p2p2p/1BP1P2P/Pb1p4/1Q2BNP1/5P2/2R3K1 w k - 0 29,c5b6,WHITE,612,944,1
8086,3r4/pp2bkp1/q5p1/P3Pp2/1prN1P1P/2n1P1PB/3B2RK/Q7 w - - 1 34,a1f1,WHITE,1701,320,-1
8087,r3k1nr/q3ppbp/2n3p1/p1p1P3/1pP2P2/3PBNPP/PP4B1/R2Q1RK1 w kq - 0 20,a1c1,WHITE,700,1416,1
8088,r2q1rk1/1p3pp1/2p1n2p/p3R3/2B2p1P/P2P1QP1/1P6/R6K b - - 3 36,e6d4,BLACK,702,474,-1
8089,7r/5pk1/p7/3p4/7P/1bK5/1P3PBP/R7 b - - 2 32,b3c4,BLACK,822,1371,1
8090,r1b2qk1/pp1p1p1p/2p2p2/P1P1p1N1/4P3/2NPB2P/2n1B1P1/R6K w - - 0 23,a1a4,WHITE,2479,1311,-1
8091,8/5p1k/1n2b2p/p3p2p/Pr2P2P/5PP1/2R4K/2Q5 w - - 7 52,c2c6,WHITE,779,2137,1
8092,2rn1r2/pp4pk/5pbn/8/1pP3Pp/PN5P/4K1BB/3R3R w - - 0 32,h2d6,WHITE,1866,1106,-1
8093,r1b2Q1r/pppkn1p1/1bnp1p1p/4p3/P1B1P3/2PP4/1P1N1PqP/R2K1N1R w - - 8 18,f8h8,WHITE,426,1196,1
8094,4r2k/2p1qrp1/7p/1R1Pp3/4P3/R2Q1p2/2P2P2/5K2 w - - 12 41,a3b3,WHITE,1770,1434,-1
8095,1q2r3/2k4p/r2bp3/3p1p2/bPpP1P2/1n2BN2/R1N3PP/4Q1RK w - - 5 34,f3e5,WHITE,214,2322,1
8096,4rr1k/2q2pp1/1p1bp2p/2p2nPP/PpPpQP2/1P1P4/3B4/4RKR1 b - - 6 31,c7d7,BLACK,1471,2296,1
8097,2kr3r/pppq2pp/2n1bp2/3B4/7N/2B3b1/PP3P1P/RN1Q1RK1 w - - 0 16,d5e6,WHITE,2164,2205,1
8098,r2b2r1/7k/1pb1p2p/p1p1Pp1p/P1Pp1P1P/nP1P2P1/4K2N/2RRB1N1 b - - 11 52,d8e7,BLACK,1329,1992,1
8099,1r4k1/4bpp1/p6p/1p1R3b/4p1P1/P1P5/1P2BP2/K3R3 w - - 0 33,d5h5,WHITE,1411,1384,-1
8100,7k/5p1p/1p4r1/p2pp1P1/8/4B3/P7/3K4 b - - 0 42,h8g8,BLACK,1685,467,-1
8101,2b3r1/3k1p1p/p1rq4/Ppp1n1b1/1P1pRN2/3P2PP/1P4B1/R1BQ2K1 w - - 4 26,d1f1,WHITE,375,2106,1
8102,5k2/5rpp/Qp2rP2/1N2p3/PPPb4/7N/R6P/4BK2 b - - 0 33,f7f6,BLACK,279,466,1
8103,8/1k3pp1/p1bq3p/1pp2p1P/2pn1P2/4Q3/P5P1/3RN2K w - - 6 38,e1d3,WHITE,1609,646,-1
8104,1r2nrk1/3qppbp/2npb1p1/p1pN4/1pP1PP2/1P2B1PP/P2QN1BK/4RR2 b - - 3 19,b8b7,BLACK,851,2298,1
8105,2rk1r2/Rp5b/2p3pp/1nppp1p1/6P1/2PBP2P/1Q3P2/5RK1 w - - 0 30,b2a1,WHITE,988,1898,1
8106,8/4npk1/1p1brq1p/6p1/1pPRB1P1/r3P2P/P2Q1P2/3R2K1 b - - 10 41,e7c8,BLACK,1689,2132,1
8107,r1b1k2r/1p2ppbp/1qn3p1/pNP4n/3P2P1/8/PP3P1P/R1BQKBNR b KQkq - 0 10,c8g4,BLACK,1423,1959,1
8108,4r1k1/1R3rq1/pn6/6bp/4P3/1Q1P3B/3BpPPP/6RK w - - 6 35,d2g5,WHITE,565,1203,1
8109,8/8/R5p1/6Pp/7P/6k1/5r2/6Kn w - - 33 149,a6g6,WHITE,1968,1507,-1
8110,4kr2/p3p2p/6p1/3r1n2/1pP3N1/4Q2P/P2P4/R6K w - - 2 30,e3b3,WHITE,783,957,1
8111,1nb2rk1/2qpb2p/p2n2p1/2pP1pP1/4p2P/PrN1P1NB/RPp1QP2/2B2K1R b - - 6 25,d6b5,BLACK,1371,971,-1
8112,8/p4k1p/1pr5/2p5/5P1p/P3p3/4P3/3R2K1 b - - 0 39,c6c7,BLACK,1199,353,-1
8113,r1b2rk1/1p3pp1/1bp4p/p2np3/P3Nn1q/1B3QNP/1PP2PPK/R1BR4 b - - 7 21,f7f5,BLACK,1394,382,-1
8114,7k/3r4/2r5/1p1qpp2/pP4p1/P5P1/4BPNP/R2RQ1K1 w - - 0 41,d1d5,WHITE,263,588,1
8115,1rbq2r1/3nnp1k/2pp1bpp/p3p3/PpP1P3/1P1PBN1P/3NBPP1/R2QR1K1 w - - 1 22,d3d4,WHITE,389,651,1
8116,rn3rk1/6pp/3p4/ppp2Pn1/1P1pP3/P5P1/8/4KR2 w - - 1 39,b4a5,WHITE,864,691,-1
8117,3rr2k/4pp1p/5P2/1p1bb3/1Q1p1RPp/P1pP3P/8/6K1 w - - 5 37,f6e7,WHITE,1083,654,-1
8118,r1b1r1k1/3p3p/2pP1bp1/q3pp2/NpP1P3/6PB/PNQ2P1P/1R2K2R b K - 1 26,b4b3,BLACK,2425,2368,-1
8119,5rk1/1b1n1pp1/3Pp2p/1pp5/1pn2B1P/4RN2/1qB2PP1/3Q2K1 b - - 3 28,b7d5,BLACK,2376,1698,-1
8120,1r1q1rk1/1pbb2pp/p3ppn1/8/1P2N1P1/P3B2P/5PB1/2RQ1RK1 b - - 1 28,d7c6,BLACK,1711,1047,-1
8121,8/3p4/3P3k/1p5q/p1rbPp2/P1R2P2/1K4Q1/2R5 w - - 4 69,c1g1,WHITE,323,1691,1
8122,r2b1r1k/1p1q1ppp/p2p4/n2PpP2/P1p1n3/1PNP1R2/2P3PP/R1BQ2K1 w - - 0 19,c3e4,WHITE,2392,1747,-1
8123,3rq3/5pbk/p2pn2r/p2Np1pP/1pPnP1Q1/3P1BP1/5PK1/3RR3 b - - 3 35,d8b8,BLACK,344,1663,1
8124,1r1r2k1/2b2p2/p4npp/P1R1P3/4bP2/3N2PP/8/4R1K1 w - - 1 39,d3f2,WHITE,1553,262,-1
8125,r7/5pk1/2p2n2/3p2pq/p2P2bP/2P1rN2/1B4BP/R1R3K1 w - - 0 48,f3g5,WHITE,1333,1317,-1
8126,r1bqkb1r/1p3ppp/p3p1P1/n1ppPn1P/1P1P4/P1NBBN2/2P1QP2/R3K2R b KQkq - 0 19,c5b4,BLACK,881,1102,1
8127,rn2kr2/pp3Npp/2p2q2/2b2b2/2P1pR2/P3P1P1/1PQP2Bn/RNB3K1 w q - 2 14,b1c3,WHITE,1665,988,-1
8128,1k5r/ppr3p1/2p1Q3/6B1/4B2P/2PP2P1/P4P2/RK5R w - - 5 31,f2f4,WHITE,1308,1344,1
8129,2rqr1k1/pp1b1pp1/4p1np/1P1p4/P1P1n2P/4PN2/1BQbBPP1/3R1RK1 b - - 1 19,d2a5,BLACK,277,1619,1
8130,r4rk1/2q3pp/b1Np4/1B1P1p2/P3P1nb/NpQ2p2/1P3P1P/1K4RR w - - 2 27,c3c4,WHITE,1989,205,-1
8131,1q2r2k/1p3p2/6p1/7p/2p1BP2/2N1p1P1/Pn2K1bR/1R6 w - - 4 29,h2h5,WHITE,577,470,-1
8132,rn1qkbnr/1pp2p1p/p1b1p3/4P1p1/2PP4/1P1NBP2/P2Q2PP/R3KBNR b KQkq - 3 12,g8h6,BLACK,2120,2439,1
8133,8/3b1k2/1p6/pP3P2/8/1P4R1/2r1r3/5RK1 w - - 1 45,f1d1,WHITE,584,891,1
8134,2rqk2r/p3ppb1/1p2b1pp/4PnP1/4Q1B1/P4N2/2PBpP1P/1R2R1K1 w k - 4 27,e4e2,WHITE,1395,1379,-1
8135,2k4r/3b2p1/pp1b1n2/2p1N1B1/P4Q2/8/2PK1PPP/1q6 w - - 0 25,g5f6,WHITE,1963,373,-1
8136,4r3/6k1/1pp5/p7/4P3/P3q1P1/1P1p2BK/5R2 w - - 0 46,f1g1,WHITE,1465,939,-1
8137,3b3k/5pr1/r3n3/PRp1pN2/P1PpP1P1/3P1P2/3B2K1/8 b - - 4 41,g7g8,BLACK,654,653,-1
8138,2r5/5pk1/b1p5/qp1pP2r/4n1B1/3R1NP1/4NP2/2Q3K1 b - - 1 31,h5h6,BLACK,1538,700,-1
8139,r2qk2r/pp3ppp/3p2P1/2pP1bb1/2P3n1/5N2/PP2BPP1/RN1QK2R w KQkq - 0 16,f3g5,WHITE,586,1515,1
8140,r3kn1r/p1q5/Q3p3/n2p2P1/3P4/6P1/PP1N2PP/4RRK1 w kq - 1 21,h2h4,WHITE,1287,1442,1
8141,2rq4/1R2nrbk/B1Pp3p/p2Pp1p1/P3Pp2/5N1P/3Q1PP1/1R4K1 b - - 3 30,c8a8,BLACK,1750,1565,-1
8142,1r3k1r/1pp2p2/2np2pN/p2Np1nq/2PbP3/PPQP4/3B1P2/2R1RBK1 w - - 5 28,f1e2,WHITE,844,559,-1
8143,2rq1k2/1b1n1P2/1p6/1Pp1b1p1/2Pp4/p2Pn1P1/P2QRR1P/2B3K1 w - - 7 36,g3g4,WHITE,757,813,1
8144,1r1q1rk1/pp5p/2np3P/2pNbp2/2P3B1/4PNn1/PP3RP1/RQ2B1K1 w - - 0 27,f3e5,WHITE,225,1624,1
8145,2k1q1r1/Bpp1b1p1/5n2/4Nb1p/2Q5/2N2PP1/PP3PBP/R4RK1 b - - 0 20,g8f8,BLACK,517,880,1
8146,2r1qk1r/ppn2pn1/2b1pQp1/P1PpP1p1/7P/1B4N1/1PP2PP1/R3R1K1 b - - 0 25,h8h4,BLACK,479,1022,1
8147,3r1knr/q2bbp2/2n1p2p/p1P1P3/2R1NP1P/P4N2/3Q1P2/2R2BK1 w - - 1 26,d2e3,WHITE,498,897,1
8148,r3kbr1/p1N1qp1b/5n1p/2p5/2Q1PB2/5nPB/PP5P/R2R1K2 b q - 1 22,e7c7,BLACK,496,1247,1
8149,r2q1r1k/ppp2pp1/3n2bp/3Pp3/1P1bN1P1/PB1P1P2/Q2BN2P/5R1K b - - 6 19,d4b6,BLACK,2489,2067,-1
8150,2r1r2k/1pq3pp/p3bpnn/2PpP1Q1/3R2P1/N2B1N1P/PP3P2/2R3K1 w - - 0 21,e5f6,WHITE,355,502,1
8151,r1bqr1k1/pp1nbNp1/2p2n1p/3p4/1PP1p3/P1N1P2P/2QP1PP1/R1B1KB1R b KQ - 0 12,g8f7,BLACK,348,1737,1
8152,6rk/1r2bb1n/p1np1p1q/2p1pP2/2P1P1B1/PP2N2p/R2N3R/2BQ2K1 w - - 1 36,d2f1,WHITE,2052,2126,1
8153,3r1bk1/1pp1p2R/p1n1b1p1/1BNpp1p1/8/q4PP1/P5P1/2RQ1K2 w - - 2 26,b5c6,WHITE,1840,2178,1
8154,2b1q2k/r2n2b1/4Nrp1/2pBp3/p2P1p1P/P1P5/5PP1/2QRR1K1 w - - 4 37,e6g5,WHITE,2066,1610,-1
8155,2r3k1/p5pp/1pnrpp2/2n3P1/7P/R1Q3N1/1B1P1PB1/3K3R w - - 1 33,f2f3,WHITE,1907,1987,1
8156,1r1qr1k1/1ppbbpp1/2np3p/pN2pP2/2PnP1N1/PP1P2PP/3B2B1/2RQ1RK1 w - - 3 20,f5f6,WHITE,1410,1892,1
8157,r3kb1r/p2pn1p1/1pb4p/n1p3N1/4PB2/P1N5/1PP2P1P/3RK1R1 w - - 0 17,b2b3,WHITE,345,923,1
8158,r6k/3Qbq1p/4pN2/4Pp2/2p2B1P/p4b2/1p5K/5R2 b - - 1 41,a8b8,BLACK,700,504,-1
8159,1k6/2b1n3/p1B5/Pp1p4/3P4/1PP1P3/q1K2P2/8 w - - 1 40,c2d1,WHITE,1764,598,-1
8160,2b1r1k1/p1qn1pp1/2p2b1p/2Ppp3/3Pn3/3BPNNP/1RQ2PPK/R7 b - - 0 25,e4f2,BLACK,829,1561,1
8161,r1b1kb1r/2qp1ppp/p1n1p3/1pp1Pn2/3P1B2/2P2N1P/PPN1BPP1/R2QK2R w KQkq - 2 11,e1g1,WHITE,1337,1621,1
8162,4r3/2br4/2p2k2/1p1n1p2/1PPPp1p1/4Pb2/1B1K1P1P/2R5 b - - 0 44,d5b4,BLACK,1594,613,-1
8163,3b4/3r2kp/1p4p1/2p2p2/2Pn1P2/PPQ5/3B4/2NRNK2 b - - 1 41,d8e7,BLACK,651,1550,1
8164,r3k1r1/1p1bn1pp/2n5/1Bpq1p2/5P1P/4PN2/pB3P2/R2QK1R1 b Qq - 0 28,c6b4,BLACK,1299,1378,1
8165,1r3B2/7k/p1b1p3/P2pp2p/4n1pP/Q5P1/1qN2P2/2R3K1 b - - 1 43,h7g8,BLACK,1206,858,-1
8166,4r1k1/8/2bb1p2/1pp4p/2PP1PqP/P1K2n2/P3N3/1R3Q2 w - - 1 33,d4d5,WHITE,1813,1130,-1
8167,r3k2r/pp1n1pp1/2pbpq2/3p4/3Pb1p1/4P2P/PPPB1PB1/R2QNRK1 w kq - 0 19,d1g4,WHITE,1868,1397,-1
8168,r7/5kp1/1p3p1p/1P6/p6P/8/2B2PPK/2B4R w - - 1 38,c2a4,WHITE,1186,1320,1
8169,1rb1k2r/2q2pb1/p1npp2p/2p1n2P/1pP1PNpB/1P1P4/P4P2/R2QKBNR w KQk - 4 20,a1b1,WHITE,1429,2073,1
8170,2r1k3/5p2/2b3pr/p2NB2p/1P1R1q2/2Q2N2/4B1PP/1R3K2 b - - 0 32,f4f5,BLACK,788,1049,1
8171,3r4/5k2/8/bpP4p/3P2p1/3KR3/1P3P1P/7R b - - 1 37,f7f6,BLACK,709,1201,1
8172,5rk1/ppq2ppp/2nbb1r1/3p4/4n1PB/P1PBPN1P/1P3P2/2RQRNK1 b - - 4 22,f7f5,BLACK,2074,719,-1
8173,5b1r/p2r1kp1/5Pp1/1pppp2p/Q5bn/3PPP2/PP6/R4RKB w - - 0 32,a4b5,WHITE,1143,1774,1
8174,r7/2r2pbk/B1Pq2pp/1Pn5/P2p4/BQn2PPb/3N1K1P/2R1R3 b - - 4 34,d6c6,BLACK,1368,719,-1
8175,2rqr1k1/1b3p1p/2pp1npb/1pn5/p3P3/N1P2P1P/PPN2QPB/3RRB1K b - - 10 22,h6f8,BLACK,2412,1969,-1
8176,r3kn1r/ppp1n3/3b1p2/q4bpp/2BPp3/1Q2P1BP/PP1N1PPN/R4RK1 w kq - 2 18,b3b7,WHITE,540,984,1
8177,1r1b2k1/5p1p/5p2/3p4/3Np3/2qbP1P1/Q2N1PKP/R2B4 w - - 18 38,h2h3,WHITE,417,1858,1
8178,2q1r1k1/p4p1b/1p2p2p/b5p1/3P4/RQ2BNP1/1P3P2/3R1BK1 w - - 2 33,g3g4,WHITE,591,1079,1
8179,2R2bk1/6p1/1p2p1Pp/3p2P1/8/2K5/r7/8 b - - 2 47,h6g5,BLACK,1485,1148,-1
8180,rb1qk1nr/1b1p2pp/pp1N2n1/2p2p2/2PP1B2/P4PP1/1P5P/R2QKBNR b KQkq - 3 13,b8d6,BLACK,697,1213,1
8181,2rq1bN1/6pR/p1bpkpB1/1pp5/2Pp4/4P1P1/PPNB1PP1/R1Q2K2 b - - 2 22,b5c4,BLACK,825,2007,1
8182,3rr3/p2qbb2/Pp1p1nkp/4p1p1/RB6/1P3P1P/2P3P1/3QR1K1 b - - 3 25,g6g7,BLACK,1232,211,-1
8183,3qk2r/5ppp/2rb1n2/p1p5/P2p4/Nb1NP1P1/1PQ2P1P/2B2RK1 w k - 0 18,c2b3,WHITE,1557,1336,-1
8184,r3nrk1/1b1nq1bp/1p1p2p1/pNpPpp2/P1P1P3/3B3P/1PQB1PPN/R3R1K1 b - - 3 17,e7f7,BLACK,1795,1440,-1
8185,1nr5/4b2k/r1b1pp1p/pNP3p1/2pPnPP1/4PB1P/1R6/2N1BRK1 b - - 1 35,b8d7,BLACK,1719,2281,1
8186,7k/3b4/pR5P/2p3rP/8/P1PP4/3n1rB1/1K4R1 w - - 1 47,b1c1,WHITE,2413,2324,-1
8187,2r2br1/1k3pp1/1p2b2p/pP1NP2P/P1P1P3/1nBB4/6P1/1K1R1R2 b - - 0 31,f8a3,BLACK,400,1421,1
8188,r1r3k1/1p3pb1/2p1q1p1/B1Qn1p1p/P2Pp3/1P2P1PB/5P1P/1RR3K1 b - - 2 26,g7f8,BLACK,759,1368,1
8189,r3r1k1/1qB1pp1p/pn4p1/4Q3/2p4P/8/1P3PP1/R3R1K1 b - - 0 24,b6d7,BLACK,1436,1225,-1
8190,r5r1/2p2k1p/pp6/3p1N1P/Pn3PP1/qP3R2/1R1K1bB1/1QB5 b - - 1 41,f7f8,BLACK,1466,2436,1
8191,8/4Kp2/5P2/2p4b/8/8/8/5k2 w - - 4 121,e7e8,WHITE,1771,2201,1
8192,6k1/6p1/2Q5/2Pp1P1p/3P3P/8/8/2q2K2 w - - 19 74,f1e2,WHITE,2253,2228,-1
8193,7k/pp6/P1r5/6pp/2q2p2/R4P2/7K/8 b - - 0 42,c4c2,BLACK,1299,973,-1
8194,3n1k2/7p/5PpP/4p3/2p1P3/5P2/R3NK2/8 w - - 1 51,a2d2,WHITE,291,848,1
8195,2rr1q2/3n1p1k/2bN1n1p/ppP1p1p1/8/PP2P1PP/3NQP2/2RR1BK1 b - - 2 26,e5e4,BLACK,1920,2491,1
8196,8/1b5k/p7/3p4/2Q4P/8/8/2K1R3 b - - 0 53,d5c4,BLACK,631,1566,1
8197,r1b1k1nr/pp3ppp/2P5/3pp3/1P6/2B1PNP1/q1P2P1P/1N1QKB1R b Kkq - 0 12,d5d4,BLACK,285,1034,1
8198,r1b1r1k1/npp1qp1p/5n2/1P6/p1P3pN/P3P1P1/1R1NP1BP/2QR2K1 b - - 0 20,e7a3,BLACK,1345,2164,1
8199,3r2k1/pp2b1p1/2n1P1qp/P1p2p2/1nP4P/4R1PB/1P3P1N/1Q4K1 w - - 2 36,h3f5,WHITE,292,835,1
8200,4rrk1/2q3bp/1Np1b1p1/p1Pp4/3P4/PPB1PNpn/6Q1/1R3R1K b - - 3 29,g6g5,BLACK,671,1166,1
8201,2k1q3/p3r3/1p2B1p1/1Pp3Np/P3R2P/3PbPP1/3R2K1/2r5 b - - 1 52,e7e6,BLACK,2118,2100,-1
8202,2rN4/1pr2pk1/7p/P1p5/1nB1Rp1P/5P2/1P1R4/2K5 b - - 0 41,c8d8,BLACK,872,1047,1
8203,r7/1pqn1pk1/2pb1rp1/p2p3p/P2P3P/1PP1P1P1/2Q1RPB1/R3N1K1 b - - 6 26,a8h8,BLACK,966,204,-1
8204,rn1qk2r/pp1nbppb/4p3/P1pp2Pp/3P1B1N/1QP1P2P/1P1N1P2/R3KBR1 b Qkq - 1 14,d8c8,BLACK,473,1439,1
8205,r2qk2r/b3npp1/4b3/p2p2Pp/8/3p1QN1/PP1N1R1P/4RBK1 w kq - 0 25,g1h1,WHITE,1549,1124,-1
8206,2r1r1k1/5q1p/1Q4p1/3pbpB1/P2Pp3/1pNP2PB/1P3P1P/R3K2R b - - 4 28,e5c7,BLACK,317,2025,1
8207,1Q6/1p2rk2/4b3/p1p2p2/2Pb2p1/P5P1/7P/1R2R2K b - - 1 36,f5f4,BLACK,1154,1490,1
8208,1k6/8/8/pP6/P7/1B6/NK2q3/8 w - - 23 87,b2a3,WHITE,1831,1494,-1
8209,b4rk1/5p1p/pP1p1bp1/4n3/QP1Bq2P/P7/2R2PPN/5BK1 w - - 1 33,c2d2,WHITE,945,621,-1
8210,3r4/pbbn1pkp/1p1r1qp1/3P1P1R/4B3/5Q2/PPP1NP1P/2K3R1 w - - 1 23,e2g3,WHITE,875,271,-1
8211,1rb1r3/2q2pk1/p1pb1np1/8/1PpP1P1p/2P1P3/5NPP/R1BQR1KN w - - 0 25,a1a2,WHITE,1951,2465,1
8212,2k5/p7/K4P2/2b5/8/4n2P/8/8 w - - 1 65,f6f7,WHITE,660,568,-1
8213,4rrk1/ppq2pp1/b1nbp2p/2p5/P1PpQ3/3P1N2/1PB2PPP/R1B1R1K1 w - - 5 21,c1h6,WHITE,471,651,1
8214,2kr1b1r/ppqnnpp1/2p1p3/6Pb/2PPNP1p/1Q5P/PP2NRB1/R1B3K1 w - - 1 17,c4c5,WHITE,772,2119,1
8215,3r3r/2knb1pp/q4p2/P1p1pP1P/2N1P3/2BP1NP1/2P3B1/3Q1R1K b - - 2 31,h8g8,BLACK,1613,1769,1
8216,5rk1/p6p/bprbp3/2p2pP1/2P5/P2P4/1PK1N1q1/4R1R1 b - - 6 36,g2f2,BLACK,1508,1943,1
8217,4r3/8/p3k3/Pp3p1p/1p1pr1p1/1N4P1/3RPP1P/3R1K2 w - - 0 45,d1c1,WHITE,1752,2300,1
8218,r1b2rk1/pp2n1b1/2q4p/2pnppp1/2P4N/3P2P1/PP1NQPBP/R1B2RK1 w - - 0 18,g2d5,WHITE,2203,1584,-1
8219,2bqkb1r/1p2nppp/2p2n2/r2p2N1/N1PP1B2/1P1B3P/P4PP1/R2QR1K1 b k - 0 16,h7h6,BLACK,675,907,1
8220,r4rk1/6b1/2np3p/p3np1P/P1P1N1pq/3P4/3BBPPN/3Q1RK1 w - - 0 25,e4g3,WHITE,453,1422,1
8221,r5r1/ppqbb1kp/4p2p/2p1Pp2/P1B5/2PR3P/1PP1QPPN/R5K1 b - - 9 19,a8d8,BLACK,2443,1052,-1
8222,6k1/4npp1/1pr5/pQ2p2p/P2pP2P/2rP1PP1/1R1RB1K1/8 b - - 5 51,c3c5,BLACK,435,1356,1
8223,r4r1k/6pp/3PR1q1/p1p3b1/5BQ1/PP1p3P/5P2/3R2K1 w - - 0 35,f4g5,WHITE,608,1217,1
8224,2k5/Rp1rb2n/4n1q1/8/2PPp3/1P4P1/1P3PK1/7R w - - 3 42,b3b4,WHITE,535,440,-1
8225,1k3r2/2q5/p5pQ/2pPP2p/4N1P1/1Pp4P/2P5/4R1K1 b - - 3 34,f8f3,BLACK,764,1668,1
8226,r2qk2r/pp1n1p1p/2p1p3/4P3/3PBp1N/2PQ2P1/P1P4P/R4nK1 w kq - 0 16,a1f1,WHITE,1494,681,-1
8227,1r6/3q1rk1/Rbn1b1p1/1p1pPp1p/1PpP1P2/2B1KBP1/2N5/R6Q b - - 61 75,f7f8,BLACK,310,2205,1
8228,1r2qb1k/p2p1p1p/1pbPpP1r/2p1P1p1/P1P1R1P1/1PN3BP/7Q/5RK1 b - - 8 33,b8c8,BLACK,463,2134,1
8229,2B5/6p1/2r3p1/p1P1Bpk1/8/4K3/8/8 w - - 1 59,e5f4,WHITE,2002,544,-1
8230,1n6/p2bk3/2r5/4ppNP/2B2Pp1/2P1K3/P2R2P1/n6R w - - 1 40,c4f7,WHITE,1411,1595,1
8231,krq1bb1r/np6/p3p1p1/P2pPpNp/2pP1PnP/2P3B1/1PBQ2P1/R3RNK1 b - - 8 27,f8e7,BLACK,1136,2197,1
8232,8/rq1r1bbk/3Q2pp/2P2p2/Bp1npN2/p3P3/P4PPP/R2RB1K1 b - - 1 42,a7a4,BLACK,986,2329,1
8233,6k1/4Q2p/6p1/5pP1/5P2/Pr6/1P3K2/2q5 w - - 34 79,e7e6,WHITE,466,1709,1
8234,r1b1k2r/1pqnbp2/1np1p2p/p3P3/P1BQN1pP/1P1P4/1BPN1PP1/R4RK1 b q - 3 19,c6c5,BLACK,2067,2342,1
8235,5r1k/1q3r2/1p1p2pb/pPpPp2p/P1QnRP2/3P1N1P/1B4P1/4R1K1 w - - 3 45,f4e5,WHITE,483,1585,1
8236,5r1k/8/1p5p/p1p3qQ/P1Bp4/1P1P3K/8/8 w - - 3 45,h5g5,WHITE,1505,416,-1
8237,r2q1rk1/4pp1p/pp3bp1/4n3/2P1b3/P3PN1P/1P2BPP1/1RBQ1RK1 w - - 4 15,b1a1,WHITE,749,1190,1
8238,r1bq1rk1/pp2bppp/8/2p1nN2/3pN1P1/3P4/PP3PBP/R1BQ1RK1 b - - 1 16,c5c4,BLACK,610,789,1
8239,2b1r2r/2k5/p1n2ppb/2N2n2/Bpp3pP/8/PP3P2/1KNR3R w - - 2 30,a2a3,WHITE,1592,1508,-1
8240,1r6/r3p1k1/P6p/3P2pP/2p1P3/1PRB4/4R1P1/6K1 w - - 0 47,d3c4,WHITE,359,1235,1
8241,7k/1bb3r1/1p2ppq1/1Pp1n2p/2PpPBpP/r2P2P1/5PB1/1R1QRN1K w - - 5 44,b1b3,WHITE,1174,2328,1
8242,1R6/8/1kq1Q3/3n1p2/7P/5p2/1P3P1K/8 b - - 19 66,b6a7,BLACK,1789,2308,1
8243,2qrr1k1/pp3pp1/2pnbn2/b2p3p/P2PP2N/2N2PP1/1PP3BP/R1BQR1K1 b - - 0 23,a5b4,BLACK,580,1625,1
8244,2R5/1p1qrpk1/r4bp1/5p2/P2P2pn/1B6/1P6/1K1R3Q w - - 5 43,c8b8,WHITE,1557,806,-1
8245,8/3k4/2p2np1/3p1p2/3P1P2/1NP2KP1/1P6/8 b - - 2 42,d7c7,BLACK,409,1112,1
8246,3r2k1/4r3/p3p2p/n1p1Qp2/1pPN2p1/1P1P2P1/4PPKP/R7 b - - 1 30,d8c8,BLACK,1660,1669,1
8247,8/5k2/6N1/7K/5p1B/7P/n7/8 b - - 1 67,f4f3,BLACK,300,497,1
8248,r3n1k1/1p1qbp1b/7p/1P6/p2BN1p1/P2pP1P1/2r2PBP/Q2RNRK1 b - - 4 24,b7b6,BLACK,503,1079,1
8249,3qr1k1/1p3pp1/1P1p1b2/3Q1P1p/p1P1n2N/P3P1P1/4P1B1/4BRK1 b - - 0 34,d8e7,BLACK,1991,1873,-1
8250,r1r5/5p2/1k2p3/pp2Pn1p/8/P2P1Pp1/1R1K2PP/3B2NR w - - 0 35,a3a4,WHITE,510,1815,1
8251,r6r/2kn4/1b2bp2/6pp/NPp5/3p1B1P/2P2PP1/R2RB1K1 w - - 0 32,c2d3,WHITE,326,1243,1
