,FEN_BEFORE_MOVE,MOVE_MADE,TURN,WHITE_ELO,BLACK_ELO,WINNER
60,2r3r1/k2n1p2/Ppq1p3/2pNPnp1/2Pp3p/1Q5P/P4PPB/1RR4K w - - 0 29,h2g1,WHITE,1760,1767,1
61,2r3k1/4rq2/1pb1p2p/p1p1Q1PN/P2p3B/1N1P1p1P/1PP4K/R5R1 b - - 0 38,f3f2,BLACK,538,2210,1
62,6rr/3pk3/p1p2p2/1p2pp1p/1P1b1N2/P4PP1/2RN3P/3K1Q2 w - - 2 34,f4g2,WHITE,815,1993,1
63,1n2r1k1/1p1nqppp/1Pp1b3/3pP3/8/3P1N2/rRQ1BPPP/3R2K1 b - - 0 23,a2a3,BLACK,1520,2154,1
64,1r2r1k1/2pq1pb1/P2p1np1/2p4p/N1P1bB2/P5PP/4PPB1/2RQK2R w K - 1 21,e1g1,WHITE,1539,381,-1
65,r3k2r/ppq1bppp/2n1bn2/4p3/2pPp3/2P2N1P/PP1N1PP1/RBBQR1K1 w kq - 0 12,d4e5,WHITE,800,989,1
66,2r1qrk1/pb2b1p1/1p1nNn1p/3pNp2/PPpP4/2P1P2P/2B2PPB/RQ3RK1 b - - 0 23,f8f7,BLACK,1510,2488,1
67,8/8/2PR3K/p7/P5B1/4k3/3p4/2r5 w - - 15 89,h6g7,WHITE,2310,2479,1
68,4r3/8/7k/p1bB2Rp/2P4P/1P4P1/P7/3K4 b - - 0 42,c5d6,BLACK,1197,1884,1
69,1r3rk1/3n1p2/p2Ppb1p/3p4/2q5/N1PN1Q2/PP3PPP/R4RK1 b - - 6 26,c4a4,BLACK,2353,1114,-1
70,3r1Nk1/8/p1p1q2p/1p3pp1/4p3/5nP1/PPP1QPKP/R1BN3R b - - 0 25,d8f8,BLACK,1825,2120,1
71,r4r2/ppq1k3/2nb4/2pPp1Q1/6bP/P2P1NP1/1P1N1nB1/2K1R2R b - - 2 25,e7e8,BLACK,1387,432,-1
72,3b3k/6pp/5r2/1Np4P/1pPp4/6P1/6K1/4b3 w - - 3 38,g3g4,WHITE,1651,742,-1
73,rnbqkb1r/pppp1ppp/4p3/2n1P1B1/8/3P1N2/PPP2PPP/RN1QKB1R b KQkq - 2 5,f7f6,BLACK,929,1953,1
74,r1bqr1k1/pp3ppp/2pb2n1/P2p4/3Pn3/2NBPN1P/1PPB1PP1/R2QR1K1 b - - 0 16,d6c7,BLACK,2495,2000,-1
75,2k3r1/1pqnbp2/p1p2nb1/P1Pp3r/3PpPp1/1Q2P2P/1P4N1/RNB1KB1R w - - 0 22,h3h4,WHITE,2025,2058,1
76,2b2rk1/2q3pp/5p2/2P1p3/1pP3P1/4QNP1/4PPB1/3R2K1 w - - 0 24,f3h4,WHITE,307,936,1
77,3k4/8/3n1p2/1pq2P1B/r2p2P1/2nP1R1p/2P2K1P/4R3 w - - 5 62,f3h3,WHITE,2308,1689,-1
78,4r3/1P6/p2R4/4N1k1/2P2npp/8/5P2/2K5 w - - 1 41,d6a6,WHITE,626,290,-1
79,r2r2k1/1p3p1p/2p2np1/p3nbB1/P3p3/1BN3NP/1PP2PP1/R5K1 w - - 0 22,g5f6,WHITE,1289,1453,1
80,8/5pk1/q2bpn2/3n2N1/r2P3P/5N1R/3B1PP1/1Q2K3 b - - 2 38,a4a1,BLACK,2291,1228,-1
81,1r3bk1/pB1q1ppp/4bn2/2p1p3/3P2PP/4P3/PP1N1P2/R1B2RK1 b - - 0 19,f6e8,BLACK,1237,1170,-1
82,1rnr1k2/7p/P2bPP2/1p2p3/2p1N2P/P2n1Q2/3K1P2/R4B1R b - - 0 34,f8g8,BLACK,1275,1409,1
83,r5k1/3n1p1p/4p3/pp1p4/6PB/P6P/5K2/r7 b - - 0 34,a1a3,BLACK,831,772,-1
84,4r1k1/4rp1p/p1pqnRp1/Pp1p2P1/1P1P3P/2PBP3/3K1Q2/4R3 w - - 20 52,e1f1,WHITE,1508,1789,1
85,8/8/8/1k6/pb6/8/K7/8 b - - 7 81,b4e7,BLACK,2465,1161,-1
86,2b4r/1p3pkp/p2p2p1/P2PpnP1/2N4P/1BP2P2/6K1/4Q1R1 b - - 2 34,h8g8,BLACK,1572,1859,1
87,2k2r2/R3p1b1/2p1P1p1/2P1Ppp1/8/P2K1N1P/1r6/5R2 w - - 2 36,a7e7,WHITE,670,426,-1
88,r1bqkn1r/p3bp2/1p2p3/3pPnPp/P1pP1B2/2P2N2/1PQNBPP1/R3K2R b KQkq - 0 15,h8g8,BLACK,973,1055,1
89,2qbr1k1/r5p1/2p2pN1/1pP1P1pP/2bPp3/p3P3/6Q1/R3BRK1 w - - 2 30,f1f2,WHITE,1316,2190,1
90,r1bq1rk1/1p2n1b1/1p1p2p1/4ppPp/PPPpP2P/5P1B/3QNN2/2R1K2R b K - 3 22,f5e4,BLACK,1652,1466,-1
91,1r1q2k1/p1r2p2/1p1p2pb/1npPp2p/4P2P/1PB3PB/P2P1PK1/1R1Q1R2 w - - 2 26,a2a4,WHITE,1075,1872,1
92,2b2rk1/rpp2ppp/Bb2p3/4N2N/PP1pP3/1P1P2P1/4QP1P/R1q2RK1 b - - 1 18,c1g5,BLACK,1179,1244,1
93,8/2rq2k1/P7/bPRn3r/3Pppp1/4B3/2R2P2/6K1 w - - 0 44,c5d5,WHITE,1818,641,-1
94,2rq1bk1/5pp1/pp4n1/5N1p/3pQ3/PP5P/1B3PP1/2R3K1 w - - 7 30,c1c8,WHITE,1081,706,-1
95,8/R7/5k2/5p1p/p2N1P1P/4n1PK/8/8 w - - 15 77,a7a4,WHITE,1362,1718,1
96,r4rk1/1bp2p1n/1pnp1qpP/p3p3/2PbP3/1P1P1NQP/PN4B1/R1BK1R2 b - - 5 22,f6e7,BLACK,1639,2266,1
97,1r6/6k1/1p1Pq1p1/1N6/PRn1bKP1/7P/2P2P2/5R2 w - - 1 34,b4c4,WHITE,1472,1181,-1
98,5r2/8/k3K1P1/P4n2/1p6/8/8/7R b - - 3 64,f5g7,BLACK,547,1058,1
99,r1b1qrk1/Bp4b1/3p2p1/Q2Pp2p/2P1Pp1P/6P1/PR3PB1/1R4K1 b - - 1 28,e8e7,BLACK,1413,2283,1
100,3r2k1/5p2/1pBn2p1/pP4N1/P1q4P/3Q4/2p2P1P/2R3K1 w - - 1 41,d3c4,WHITE,663,1038,1
101,r2qr3/1p3pk1/2p3b1/p1NpP3/P1nQ1Bpp/2P3P1/1P2PP1P/R4RK1 w - - 2 23,c5b7,WHITE,1336,1534,1
102,r3k2r/pbq1bppp/1pp1pn2/1PPp4/Q2P2n1/2N1B3/P3PPPP/2R1KB1R w Kkq - 1 12,b5c6,WHITE,1033,383,-1
103,1r1k1bnr/1q1p2p1/ppbPppRp/n1p1P2P/P1P2P1B/2NB3Q/1P1N1R2/1K6 w - - 6 30,d3c2,WHITE,2126,1637,-1
104,r3k3/4p3/2p1np1Q/pp1p4/3PqBb1/2P3P1/PP2P2R/R3K3 b Qq - 4 34,e8d7,BLACK,1733,1596,-1
105,3b1q2/8/1p1Nb1kp/pP2P1p1/2p2nP1/P6P/2PB4/1K1R4 w - - 4 36,d1f1,WHITE,1844,873,-1
106,2r3k1/pb1qb1pp/1p2p3/4Pr2/2PpN3/1P1P1N1P/P1nBQ1PK/R4R2 w - - 5 21,a1b1,WHITE,1738,1196,-1
107,r3k3/p4p2/2pb2q1/2p1p2p/P3P3/3PBQPp/1PP5/R4R1K b q - 2 23,a7a6,BLACK,1575,2492,1
108,1r6/1q2P1bk/p1B5/P1p4n/1pP4N/1P2R2P/1B3P2/4R2K b - - 2 47,b7c6,BLACK,1493,636,-1
109,r1b1q1k1/1p2br2/nBp1N2p/2P3p1/1p1P4/1Q4PB/PR5n/R3K3 b Q - 0 25,h2f3,BLACK,2083,1706,-1
110,1r1q3k/3r2p1/p4n1p/R3P3/P1P5/5B1P/3Q4/2BKN3 w - - 5 35,a5d5,WHITE,1002,878,-1
111,1r3r2/Rbk2pp1/7p/3p3P/2pN2P1/2PpPPK1/3P4/1R6 w - - 12 46,g3h2,WHITE,1870,2061,1
112,2r1k2r/1p1nppbp/pn2q1p1/2p1P1N1/1P6/P1NPB1P1/4bP1P/2RQ1RK1 w k - 0 18,g5e6,WHITE,1147,1322,1
113,r7/p3pk2/1p6/1Pp1KP2/1r5p/R7/8/8 w - - 4 57,a3h3,WHITE,2109,1782,-1
114,r6r/3k1pp1/p2qpb2/8/5P2/Np5B/P6K/1RB5 b - - 1 27,b3a2,BLACK,1228,1062,-1
115,3q1rk1/pb3pp1/1p2p2p/3nQ3/3P4/b5B1/1n2NPPP/2R3K1 b - - 0 20,g7g6,BLACK,1185,790,-1
116,r2qk1r1/1p3p2/n1pb3p/p7/4Npb1/1B1P4/PPPBN1P1/R2Q1K1R w q - 4 16,h1h6,WHITE,234,2012,1
117,1rq1kb2/3p1p2/pnbPp1p1/2p1PnN1/2P1BP1r/PR6/3N1R1B/4Q1K1 w - - 5 30,e1d1,WHITE,1484,2115,1
118,1r1r2k1/8/1pn3pp/p1pp1B2/2P5/1PN1P2P/P4KP1/8 w - - 0 34,f5e6,WHITE,493,237,-1
119,r2qk3/1p3p2/p7/6p1/2b1P3/QBPn4/PP3PPP/2B2RK1 b - - 7 37,c4b5,BLACK,564,1778,1
120,4r1k1/p1qp1p1p/1p2p1pb/2p4n/2Pn4/P1BP2P1/1P1R1PBP/1R2Q1K1 w - - 12 28,c3d4,WHITE,652,958,1
121,8/2p4k/6p1/P7/1pp1Rpp1/1r6/1PK4b/8 b - - 1 41,h7g7,BLACK,586,259,-1
122,r1b1kb1r/2pq1pp1/p1npp3/1p1nP2p/B2P2P1/2NQBN1P/PPP2P2/R3K1R1 w Qkq - 0 14,a4b3,WHITE,2236,615,-1
123,r4r2/1b2qkbp/p5p1/1p2p1P1/5n2/1P2QN2/1PPP1P1P/R1B1R1K1 w - - 5 22,e3f4,WHITE,1072,733,-1
124,5k2/r2n1q2/7p/P1bPp1pP/p3Br2/8/2R2P2/4R1K1 w - - 1 41,c2e2,WHITE,1345,482,-1
125,8/8/1k6/1p1rN3/pQp5/7P/8/6K1 w - - 10 72,e5c4,WHITE,367,2099,1
126,3rq1k1/QP3pb1/N2n1np1/8/1P1Pp3/2N1P2b/3B1PpP/1R4K1 b - - 4 29,f6d7,BLACK,2005,407,-1
127,8/1p2bk2/p3p2n/P2pP1p1/1P1p1pPp/Bq3P1P/3P4/R6K b - - 3 45,b3f3,BLACK,1769,464,-1
128,2r1rbk1/1b1q1p1p/p3p1p1/P2pBnP1/2pP2R1/2P1P2P/1PQN1P2/R3K3 w Q - 4 26,g4f4,WHITE,526,1641,1
129,6r1/4p1k1/1p1rqp1p/p1p2p1Q/2B1bP2/1P2P1P1/P2P3P/2R1R1K1 b - - 5 33,e4d5,BLACK,409,1585,1
130,r7/bb1qrkpp/2n2p2/p2p4/Q2P4/P2BBN2/5PPP/1R2K2R w K - 4 27,e1g1,WHITE,1633,1174,-1
131,4kb2/1R2n2P/3N1p1p/3Bn3/3P4/6P1/1P1pP2P/3K4 b - - 2 36,e8d8,BLACK,893,914,1
132,2b1k3/1p1n1p2/8/2p1P1Nn/2P2b2/5P2/1pBR2R1/rK1Q4 w - - 1 40,b1b2,WHITE,1654,1681,1
133,r3r1k1/5p2/p1nq1n1p/2p2Pp1/2pbP3/2N5/PP1BRPBP/1R1Q3K w - - 4 27,d2e1,WHITE,1591,969,-1
134,r5k1/1pqb1p1p/4n3/rp1pP2p/8/1Rn2NP1/2P2P2/1NQ1RBK1 b - - 1 29,c3e4,BLACK,1678,1231,-1
135,1r2k2r/p3q1pp/1pbb4/5Q2/P3p1n1/2P1B1P1/3N1P1P/RN2K2R w KQk - 0 20,f5g4,WHITE,2420,1204,-1
136,r2qkb1r/pp3ppp/2n2n2/3Np3/2PP2b1/5N2/PP2BPPP/R1BQK2R b KQkq - 2 8,e5e4,BLACK,724,1635,1
137,5rk1/p2Rb1pp/q3p3/1pp1P3/6Q1/6PK/3R3P/8 b - - 1 34,f8e8,BLACK,818,1140,1
138,1r3k2/1b4bp/1qB1Qpp1/p2p3P/P2p4/1p3N2/NPP2PP1/R3R2K w - - 5 27,e6d6,WHITE,599,1326,1
139,3qkb1r/2p2p2/P1Q1pn2/3P4/1rnP2p1/1P4P1/3N1PpP/R1B1R1K1 b k - 5 29,d8d7,BLACK,1207,2379,1
140,rn1r1BR1/p2k1p1N/3b1P2/1bp1p3/2Pn4/1P5P/P4P2/2KR1B2 b - - 0 32,b5a6,BLACK,2186,2020,-1
141,2r5/qpkr4/2p1Bn2/p3pPN1/P3P1n1/2P2Q1R/1PK2b2/R1B5 b - - 4 29,c8d8,BLACK,936,1158,1
142,5b2/4kpp1/2Qr4/8/2P5/P2P1NPp/4pP1P/4K2R w K - 6 28,c6a8,WHITE,2290,2318,1
143,rqb2rk1/1p2bppp/1Nn2n2/1p2p3/4PB2/6P1/PP2BP1P/R2Q1RK1 w - - 0 16,f4e3,WHITE,1751,1802,1
144,3Q4/4r2k/6p1/2p1p1qp/2P1P3/P2P1Qb1/6P1/3K4 b - - 13 49,g3f4,BLACK,926,593,-1
145,2r3k1/p3Qpp1/1p2b2p/r7/2p5/2P3B1/P1P2P2/1RK5 b - - 1 40,a5d5,BLACK,1283,2441,1
146,4rrk1/p2n1pp1/4pn2/2pB1b1P/p1P5/P5Pq/NP2PK2/R2QR3 w - - 1 25,d5f3,WHITE,862,2277,1
147,r3k2r/pp1b1p1p/1q2p3/2bpP1B1/Q5n1/5N1P/PPP2PP1/R3KB1R w KQkq - 3 13,a4b3,WHITE,1328,854,-1
148,4k2r/2r2N2/p4P1b/2pB3Q/1pP3RP/3P4/PP6/5q1K w k - 1 35,h1h2,WHITE,2454,993,-1
149,1rr3k1/p1qn4/1pB1pp2/1Pp1b1p1/2Pn3p/P1NP2P1/R4P1P/2BQR1K1 w - - 4 23,c6g2,WHITE,222,771,1
150,r2qr1k1/5pp1/2p2n2/p1Np1b1p/PbnPp3/2N1P1PP/1BP2PK1/R1Q1RB2 b - - 3 25,h5h4,BLACK,2281,1175,-1
151,4k3/1p6/2p2brr/2B3P1/2P2P2/P2Q4/1P2P3/1R3RK1 w - - 3 37,b2b3,WHITE,471,931,1
152,k1rq4/5p2/b1n1p2p/p1npP1r1/Pp1p1NNQ/1B3PP1/KPP4P/2R1R3 w - - 12 28,h4h6,WHITE,2039,318,-1
153,6k1/3n2p1/1nq1p2p/2p1P3/pbP5/1P3r1P/R1Q5/B5K1 w - - 4 44,a2b2,WHITE,2488,1360,-1
